Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1871.01,4.44,0.26,0.4,12.46406116,1871.04166666667,5.32,103.42791032967,6.05658934362931,103.42791032967,9.31782975942971,9.31782975942971,,,,,,1.00417693570978,1,0.130609445964257,0.0925036763520992,0.0381057696121576
1871.02,4.5,0.26,0.4,12.84464132,1871.125,5.32333333333333,101.719656271414,5.87713569568169,102.209417579387,9.04174722412568,9.08528156261221,,,,,,1.00417975234114,0.974423686137471,0.130858481713951,0.0946346343445095,0.0362238473694418
1871.03,4.61,0.26,0.4,13.0349719,1871.20833333333,5.32666666666667,102.684567352232,5.7913205014274,103.663908248137,8.90972384834984,8.9946991972353,,,,,,1.00418256896423,0.964208985788574,0.130950872929352,0.0961859956344644,0.0347648772948872
1871.04,4.74,0.26,0.4,12.55922645,1871.29166666667,5.33,109.579623034825,6.01069662216338,111.130393212832,9.24722557255905,9.37809225424746,,,,,,1.00418538557904,1.00491900838009,0.122056037619699,0.0909719062390226,0.0310841313806764
1871.05,4.86,0.26,0.4,12.27381157,1871.375,5.33333333333333,114.966462695989,6.15046919772779,117.113259947191,9.46226030419661,9.63895143598276,,,,,,1.00418820218557,1.03259114675392,0.122638098902248,0.0894884371904101,0.0331496617118374
1871.06,4.82,0.26,0.4,12.08348099,1871.45833333333,5.33666666666667,115.816204052306,6.24734710655592,118.509202515072,9.61130324085527,9.83478859046243,,,,,,1.00419101878384,1.05324862377365,0.123092799941121,0.0877249110195437,0.0353678889215769
1871.07,4.73,0.26,0.4,12.08348099,1871.54166666667,5.34,113.653660823114,6.24734710655592,116.829092797535,9.61130324085527,9.87983871437928,,,,,,1.00419383537384,1.05766280853994,0.120021815665607,0.0865808561499854,0.033440959515622
1871.08,4.79,0.26,0.4,11.8932314,1871.625,5.34333333333333,116.936474472363,6.34728253920966,120.74734534044,9.76505006032255,10.0832856234188,,,,,,1.00419665195557,1.07908828704199,0.111933010280066,0.0826686109451895,0.0292643993348769
1871.09,4.84,0.26,0.4,12.17864628,1871.70833333333,5.34666666666667,115.388013387642,6.1985296447907,119.681799003394,9.53619945352416,9.89105776887552,,,,,,1.00419946852904,1.05822154534782,0.110028205440536,0.0810479047842332,0.0289803006563032
1871.1,4.59,0.26,0.4,12.36889587,1871.79166666667,5.35,107.744746500158,6.10318825491091,112.281637925528,9.38952039217063,9.78489219394577,,,,,,1.00420228509425,1.04632034564527,0.114765257679102,0.0816526521247267,0.0331126055543749
1871.11,4.64,0.26,0.4,12.36889587,1871.875,5.35333333333333,108.918436549179,6.10318825491091,114.03476444361,9.38952039217063,9.83058314169049,,,,,,1.00420510165119,1.05071728203758,0.115269919346064,0.0825932502290196,0.0326766691170444
1871.12,4.74,0.26,0.4,12.65439174,1871.95833333333,5.35666666666667,108.755547344862,5.96549415815699,114.384700101175,9.17768332024152,9.65271730811607,,,,,,1.00420791819988,1.03133072799969,0.112135173955724,0.0849991777472159,0.0271359962085085
1872.01,4.86,0.2633,0.4025,12.65439174,1872.04166666667,5.36,111.508852340934,6.04121004554898,117.810007057616,9.23504384099303,9.75689873265234,,,,,,1.00305999988575,1.03567048334013,0.107684464010012,0.0849309891814114,0.0227534748286002
1872.02,4.88,0.2667,0.405,12.65439174,1872.125,5.37833333333333,111.967736506947,6.11922035377103,118.833572396712,9.29240436174454,9.86221246325172,,,,,,1.00307644830038,1.03883963490083,0.10375207603566,0.0839098290029967,0.0198422470326629
1872.03,5.04,0.27,0.4075,12.84464132,1872.20833333333,5.39666666666667,113.926015023984,6.10317937628483,121.451717513878,9.21127998457804,9.81975692200498,,,,,,1.0030928953451,1.02660136613487,0.101665922925352,0.0855145884981554,0.0161513344271966
1872.04,5.18,0.2733,0.41,13.13013719,1872.29166666667,5.415,114.544659986146,6.04344702204898,122.648117459944,9.06627617650962,9.70766952868283,,,,,,1.00310934102175,1.00738553318489,0.100078667932763,0.086885497930643,0.0131931700021202
1872.05,5.18,0.2767,0.4125,13.13013719,1872.375,5.43333333333333,114.544659986146,6.11863077570784,123.194075215754,9.12155834831761,9.81033900125457,,,,,,1.00312578533219,1.01051783834794,0.0977606637227217,0.0858766808572906,0.0118839828654311
1872.06,5.13,0.28,0.415,13.0349719,1872.45833333333,5.45166666666667,114.267208355087,6.23680669384489,123.454652522258,9.24383849266296,9.98707228006568,,,,,,1.00314222827826,1.02107711591673,0.0964717056225486,0.0840863420054729,0.0123853636170757
1872.07,5.1,0.2833,0.4175,12.84464132,1872.54166666667,5.47,115.282277107602,6.40381747148701,125.127894723092,9.43732366518118,10.2433129503707,,,,,,1.0031586698618,1.03946333205989,0.102500401470314,0.0834525206698147,0.0190478808004992
1872.08,5.04,0.2867,0.42,12.93980661,1872.625,5.48833333333333,113.088150704595,6.43301047758086,123.328248371366,9.42401255871629,10.2773540309472,,,,,,1.00317511008466,1.03507781501533,0.106841717944851,0.0832492176826727,0.023592500262178
1872.09,4.95,0.29,0.4225,13.0349719,1872.70833333333,5.50666666666667,110.257832623329,6.45954979005363,120.828684186593,9.41089581481952,10.3131553674415,,,,,,1.00319154894868,1.03078344541586,0.113703060848039,0.0869931171352329,0.0267099437128062
